Origin,Origin_Pop,Destination,Destination_Pop,Travel_Time
MANDIMA,141513,AUNGBA,161978,29573.0
MANGALA,94886,AUNGBA,161978,17900.0
MANGUREDJIPA,74827,AUNGBA,161978,34010.0
MASEREKA,183527,AUNGBA,161978,26203.0
MASISI,423301,AUNGBA,161978,43535.0
MONGBWALU,136572,AUNGBA,161978,9078.0
MUSIENENE,257600,AUNGBA,161978,27466.0
MUTWANGA,256179,AUNGBA,161978,25121.0
MWESO,404625,AUNGBA,161978,38121.0
NIA-NIA,73073,AUNGBA,161978,32565.0
NIZI,145051,AUNGBA,161978,12398.0
NYANKUNDE,100299,AUNGBA,161978,8749.0
NYARAMBE,238825,AUNGBA,161978,26491.0
NYIRAGONGO,635148,AUNGBA,161978,35497.0
OICHA,347253,AUNGBA,161978,19935.0
PINGA,156081,AUNGBA,161978,37067.0
RETHY,205135,AUNGBA,161978,10129.0
RIMBA,216446,AUNGBA,161978,9828.0
RUTSHURU,293634,AUNGBA,161978,33339.0
RWAMPARA,137286,AUNGBA,161978,14880.0
RWANGUBA,268948,AUNGBA,161978,33876.0
TCHOMIA,113035,AUNGBA,161978,48876.0
VUHOVI,125530,AUNGBA,161978,23516.0
WALIKALE,162523,AUNGBA,161978,51542.0
ADI,165627,BAMBO,156395,46871.0
ADJA,129346,BAMBO,156395,41048.0
ALIMBONGO,227787,BAMBO,156395,12120.0
ANGUMU,168048,BAMBO,156395,34592.0
ARIWARA,206104,BAMBO,156395,42226.0
ARU,185456,BAMBO,156395,37566.0
AUNGBA,161978,BAMBO,156395,34804.0
BAMBU-MINES,152322,BAMBO,156395,24267.0
BENI,395029,BAMBO,156395,13501.0
BIENA,122726,BAMBO,156395,15610.0
BINZA,190494,BAMBO,156395,7943.0
BIRAMBIZO,398438,BAMBO,156395,2665.0
BIRINGI,125472,BAMBO,156395,34952.0
BOGA,69412,BAMBO,156395,20515.0
BUNIA,274563,BAMBO,156395,22441.0
BUTEMBO,326616,BAMBO,156395,11069.0
DAMAS,119532,BAMBO,156395,28826.0
DRODRO,158491,BAMBO,156395,27718.0
FATAKI,131340,BAMBO,156395,27270.0
GETHY,191018,BAMBO,156395,23945.0
GOMA,260035,BAMBO,156395,6716.0
ITEBERO,183913,BAMBO,156395,22359.0
JIBA,140335,BAMBO,156395,29282.0
KALUNGUTA,206145,BAMBO,156395,13855.0
KAMANGO,109141,BAMBO,156395,17051.0
KAMBALA,126742,BAMBO,156395,28983.0
KARISIMBI,518302,BAMBO,156395,6291.0
KATWA,424920,BAMBO,156395,11049.0
KAYNA,362851,BAMBO,156395,9394.0
KIBIRIZI,331604,BAMBO,156395,5170.0
KIBUA,104917,BAMBO,156395,16628.0
KILO,57244,BAMBO,156395,25517.0
KIROTSHE,452929,BAMBO,156395,9099.0
KITOYI,22000,BAMBO,156395,12228.0
KOMANDA,189251,BAMBO,156395,17412.0
KYONDO,222254,BAMBO,156395,13658.0
LAYBO,145111,BAMBO,156395,44011.0
LINGA,151032,BAMBO,156395,30236.0
LITA,131251,BAMBO,156395,26695.0
LOGO,246325,BAMBO,156395,29731.0
LOLWA,46878,BAMBO,156395,23683.0
LUBERO,274996,BAMBO,156395,10184.0
MABALAKO,192291,BAMBO,156395,24385.0
MAHAGI,178740,BAMBO,156395,36055.0
MAMBASA,98208,BAMBO,156395,17939.0
MANDIMA,141513,BAMBO,156395,34446.0
MANGALA,94886,BAMBO,156395,32385.0
MANGUREDJIPA,74827,BAMBO,156395,21685.0
MASEREKA,183527,BAMBO,156395,11686.0
MASISI,423301,BAMBO,156395,10226.0
MONGBWALU,136572,BAMBO,156395,27334.0
MUSIENENE,257600,BAMBO,156395,13490.0
MUTWANGA,256179,BAMBO,156395,17201.0
MWESO,404625,BAMBO,156395,5272.0
NIA-NIA,73073,BAMBO,156395,32063.0
NIZI,145051,BAMBO,156395,24547.0
NYANKUNDE,100299,BAMBO,156395,28516.0
NYARAMBE,238825,BAMBO,156395,46458.0
NYIRAGONGO,635148,BAMBO,156395,5504.0
OICHA,347253,BAMBO,156395,14869.0
PINGA,156081,BAMBO,156395,12933.0
