District_Name,District_ID,Population,Pop_X,Pop_Y,Geog_X,Geog_Y
Lulua:Katende,HD_282,167808,22.95095996,-5.577986942,22.9202,-5.4621
Lulua:Lubondaie,HD_283,125275,22.8165223,-6.673226356,22.8045,-6.71353
Lulua:Lubunga,HD_284,72653,23.34049828,-5.609060566,23.4001,-5.51587
Lulua:Mikalayi,HD_285,168723,22.18521094,-6.073889763,22.1136,-6.02989
Lulua:Muetshi,HD_286,84975,22.6992425,-4.879574249,22.6927,-4.91018
Lulua:Mutoto,HD_287,62099,22.58163556,-5.675472966,22.6412,-5.62428
Lulua:Tshikula,HD_288,203566,22.79661889,-6.059492989,22.7574,-6.03787
Mai-Ndombe:Banjow Moke,HD_289,119145,17.66658735,-1.777365803,17.7957,-1.86736
Mai-Ndombe:Bokoro,HD_290,374311,18.56416778,-3.134187376,18.6211,-3.05219
Mai-Ndombe:Bosobe,HD_291,69432,19.06847406,-3.324254379,19.1923,-3.26403
Mai-Ndombe:Inongo,HD_292,146061,18.3087953,-1.813515654,18.5504,-1.92753
Mai-Ndombe:Kiri,HD_293,168489,19.30047891,-1.809192565,19.2773,-1.84309
Mai-Ndombe:Mimia,HD_294,61402,19.9791356,-2.536340698,20.161,-2.58329
Mai-Ndombe:Nioki,HD_295,263094,17.8454863,-2.900331604,17.8325,-2.90799
Mai-Ndombe:Ntandembelo,HD_296,146529,16.99265019,-2.01374675,17.0842,-1.99117
Mai-Ndombe:Oshwe,HD_297,107283,19.90213714,-3.752294708,20.0446,-3.67566
Mai-Ndombe:Penjwa,HD_298,69168,19.10466047,-1.208664123,19.072,-1.1766
Maniema Centre:Kailo,HD_299,143584,25.72741797,-2.572513458,25.6848,-2.50116
Maniema Centre:Kalima,HD_300,210892,26.64512431,-2.662526182,26.6498,-2.74646
Maniema Centre:Kampene,HD_301,185510,26.63588489,-3.540686556,26.4816,-3.50482
Maniema Centre:Pangi,HD_302,97623,26.66686187,-3.159846516,26.604,-3.15616
Maniema Nord:Ferekeni,HD_303,136218,26.46688635,-1.637746885,26.5126,-1.68366
Maniema Nord:Lubutu,HD_304,112410,26.72027049,-0.709299688,26.9164,-0.623245
Maniema Nord:Obokote,HD_305,50051,26.56681662,-1.116313485,26.5962,-1.1001
Maniema Nord:Punia,HD_306,35455,27.23985113,-1.744708778,27.3134,-1.76183
Maniema Sud:Kabambare,HD_307,101178,28.10541153,-4.642875139,28.0735,-4.66288
Maniema Sud:Kasongo,HD_308,316956,26.71474681,-4.298419886,26.7592,-4.19215
Maniema Sud:Kibombo,HD_309,88196,25.77822763,-4.095141816,25.6596,-4.07381
Maniema Sud:Kunda,HD_310,91873,26.39439827,-4.01955047,26.2826,-3.91597
Maniema Sud:Lusangi,HD_311,94202,27.14057958,-4.739909482,27.232,-4.67542
Maniema Sud:Samba,HD_312,292240,26.34025538,-4.68194934,26.323,-4.72487
Maniema Sud:Saramabila,HD_313,107020,27.3066177,-4.151733731,27.3889,-4.15067
Maniema Sud:Tunda,HD_314,71577,25.09821435,-4.222756148,25.1359,-4.06649
Masisi:Kirotshe,HD_315,418317,28.93034211,-1.604960338,28.954,-1.57333
